lexema program, token('keyword', 'program')
lexema source1, token('id', 'id')
lexema ;, token('puntoComa', None)
lexema var, token('keyword', 'var')
lexema numero1, token('id', 'id')
lexema ,, token('coma', None)
lexema numero2, token('id', 'id')
lexema ,, token('coma', None)
lexema suma, token('id', 'id')
lexema ,, token('coma', None)
lexema resta, token('id', 'id')
lexema ,, token('coma', None)
lexema multiplicacion, token('id', 'id')
lexema ,, token('coma', None)
lexema division, token('id', 'id')
lexema :, token('dosPuntos', None)
lexema integer, token('keyword', 'integer')
lexema ;, token('puntoComa', None)
lexema var, token('keyword', 'var')
lexema relacion1, token('id', 'id')
lexema ,, token('coma', None)
lexema relacion2, token('id', 'id')
lexema ,, token('coma', None)
lexema relacion3, token('id', 'id')
lexema :, token('dosPuntos', None)
lexema boolean, token('keyword', 'boolean')
lexema ;, token('puntoComa', None)
lexema procedure, token('keyword', 'procedure')
lexema miproc1, token('id', 'id')
lexema (, token('parentesis', '(')
lexema minum, token('id', 'id')
lexema ,, token('coma', None)
lexema otronum, token('id', 'id')
lexema :, token('dosPuntos', None)
lexema integer, token('keyword', 'integer')
lexema ;, token('puntoComa', None)
lexema mibool, token('id', 'id')
lexema ,, token('coma', None)
lexema otrobool, token('id', 'id')
lexema ,, token('coma', None)
lexema ultimobool, token('id', 'id')
lexema :, token('dosPuntos', None)
lexema boolean, token('keyword', 'boolean')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema begin, token('keyword', 'begin')
lexema readln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema relacion1, token('id', 'id')
lexema :=, token('asignacion', None)
lexema (, token('parentesis', '(')
lexema -, token('operadorAritmetico', '-')
lexema 3, token('enteroDato','3')
lexema >, token('operadorRelacional', '>')
lexema 4, token('enteroDato','4')
lexema ), token('parentesis', ')')
lexema and, token('keyword', 'and')
lexema 1000, token('enteroDato','1000')
lexema +, token('operadorAritmetico', '+')
lexema 2, token('enteroDato','2')
lexema -, token('operadorAritmetico', '-')
lexema 4, token('enteroDato','4')
lexema suma, token('id', 'id')
lexema or, token('keyword', 'or')
lexema 3, token('enteroDato','3')
lexema <>, token('operadorRelacional', '<>')
lexema 3, token('enteroDato','3')
lexema ;, token('puntoComa', None)
lexema relacion2, token('id', 'id')
lexema :=, token('asignacion', None)
lexema relacion1, token('id', 'id')
lexema ;, token('puntoComa', None)
lexema while, token('keyword', 'while')
lexema relacion2, token('id', 'id')
lexema <>, token('operadorRelacional', '<>')
lexema relacion1, token('id', 'id')
lexema do, token('keyword', 'do')
lexema suma, token('id', 'id')
lexema :=, token('asignacion', None)
lexema -, token('operadorAritmetico', '-')
lexema 5, token('enteroDato','5')
lexema ;, token('puntoComa', None)
lexema end, token('keyword', 'end')
lexema ., token('punto', None)
lexema ;, token('puntoComa', None)
lexema begin, token('keyword', 'begin')
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema readln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema numero1, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema readln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema numero2, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema suma, token('id', 'id')
lexema :=, token('asignacion', None)
lexema numero1, token('id', 'id')
lexema +, token('operadorAritmetico', '+')
lexema numero2, token('id', 'id')
lexema ;, token('puntoComa', None)
lexema resta, token('id', 'id')
lexema :=, token('asignacion', None)
lexema numero1, token('id', 'id')
lexema -, token('operadorAritmetico', '-')
lexema numero2, token('id', 'id')
lexema ;, token('puntoComa', None)
lexema multiplicacion, token('id', 'id')
lexema :=, token('asignacion', None)
lexema numero1, token('id', 'id')
lexema *, token('operadorAritmetico', '*')
lexema numero2, token('id', 'id')
lexema ;, token('puntoComa', None)
lexema if, token('keyword', 'if')
lexema numero2, token('id', 'id')
lexema <>, token('operadorRelacional', '<>')
lexema 0, token('enteroDato','0')
lexema then, token('keyword', 'then')
lexema division, token('id', 'id')
lexema :=, token('asignacion', None)
lexema numero1, token('id', 'id')
lexema /, token('operadorAritmetico', '/')
lexema numero2, token('id', 'id')
lexema else, token('keyword', 'else')
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema suma, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema resta, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema multiplicacion, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema if, token('keyword', 'if')
lexema numero2, token('id', 'id')
lexema <>, token('operadorRelacional', '<>')
lexema 0, token('enteroDato','0')
lexema then, token('keyword', 'then')
lexema begin, token('keyword', 'begin')
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema division, token('id', 'id')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema end, token('keyword', 'end')
lexema else, token('keyword', 'else')
lexema writeln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema readln, token('id', 'id')
lexema (, token('parentesis', '(')
lexema ), token('parentesis', ')')
lexema ;, token('puntoComa', None)
lexema end, token('keyword', 'end')
lexema ., token('punto', None)
